"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
3,"Sam Scarton","PK",14,69,72,95.8,17,21,81,120,0,0,NA,NA,"pittsburgh",2021
1,"Mitchell Fineran","K",13,40,42,95.2,24,29,82.8,112,0,0,NA,NA,"purdue",2021
2,"Jack Ansell","P",12,0,0,NA,0,0,NA,0,44,1683,38.3,NA,"purdue",2021
3,"Brendan Cropsey","P",3,0,0,NA,0,0,NA,0,5,192,38.4,NA,"purdue",2021
4,"Zac Collins","P",2,0,0,NA,0,0,NA,0,2,77,38.5,NA,"purdue",2021
1,"Charlie Mendes","P",12,0,0,NA,0,0,NA,0,61,2557,41.9,NA,"rice",2021
2,"Christian VanSickle","K",10,30,32,93.8,4,7,57.1,42,0,0,NA,NA,"rice",2021
3,"Collin Riccitelli","K",4,3,3,100,1,4,25,6,0,0,NA,NA,"rice",2021
1,"Adam Korsak","P",13,0,0,NA,0,0,NA,0,72,3245,45.1,NA,"rutgers",2021
2,"Valentino Ambrosio","PK",12,30,31,96.8,12,16,75,66,0,0,NA,NA,"rutgers",2021
1,"Matt Araiza","P",14,45,45,100,18,28,64.3,99,79,4044,51.2,"AA","san-diego-state",2021
1,"Matthew Mercurio","PK",12,27,28,96.4,15,19,78.9,72,0,0,NA,NA,"san-jose-state",2021
2,"Will Hart","P",12,0,0,NA,0,0,NA,0,67,2976,44.4,NA,"san-jose-state",2021
1,"Diego Guajardo","PK",12,33,35,94.3,12,17,70.6,69,0,0,NA,NA,"south-alabama",2021
2,"Jack Brooks","P",12,0,0,NA,0,0,NA,0,53,2292,43.2,NA,"south-alabama",2021
1,"Kai Kroeger","P",13,0,0,NA,0,0,NA,0,59,2534,42.9,NA,"south-carolina",2021
2,"Mitch Jeter","PK",12,2,2,100,0,0,NA,2,0,0,NA,NA,"south-carolina",2021
3,"Parker White","PK",12,30,30,100,16,17,94.1,78,0,0,NA,NA,"south-carolina",2021
1,"Spencer Shrader","K",12,35,35,100,11,13,84.6,68,0,0,NA,NA,"south-florida",2021
2,"Andrew Stokes","P",11,0,0,NA,0,0,NA,0,56,2183,39,NA,"south-florida",2021
1,"Ben Griffiths","P",12,0,0,NA,0,0,NA,0,44,1978,45,NA,"southern-california",2021
2,"Parker Lewis","PK",10,22,23,95.7,17,22,77.3,73,0,0,NA,NA,"southern-california",2021
3,"Alex Stadthaus","PK",7,11,11,100,6,6,100,29,0,0,NA,NA,"southern-california",2021
1,"Blake Mazza","K",12,54,57,94.7,12,15,80,90,0,0,NA,NA,"southern-methodist",2021
2,"Brendan Hall","K",12,1,1,100,0,2,0,1,36,1502,41.7,NA,"southern-methodist",2021
3,"Tanner Mordecai","QB",12,0,0,NA,0,0,NA,0,1,15,15,NA,"southern-methodist",2021
4,"Matt Fraanje","P",6,0,0,NA,0,0,NA,0,9,336,37.3,NA,"southern-methodist",2021
1,"Briggs Bourgeois","PK",12,24,26,92.3,8,14,57.1,48,0,0,NA,NA,"southern-mississippi",2021
2,"Mason Hunt","P",12,0,0,NA,0,0,NA,0,71,3098,43.6,NA,"southern-mississippi",2021
1,"Ryan Sanborn","P",12,0,0,NA,1,1,100,3,60,2600,43.3,NA,"stanford",2021
