"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
5,"Dylan Drummond","WR",13,1,1,100,13,1,100,0,0,13,33,13,1,539.2,NA,"eastern-michigan",2021
6,"Hassan Beydoun","WR",13,1,1,100,8,0,0,0,0,8,8,8,0.6,167.2,NA,"eastern-michigan",2021
1,"N'Kosi Perry","QB",12,210,345,60.9,2771,20,5.8,7,2,8,8.28,13.2,230.9,143.4,NA,"florida-atlantic",2021
2,"Nick Tronti","QB",6,19,36,52.8,202,0,0,1,2.8,5.6,4.36,10.6,33.7,94.4,NA,"florida-atlantic",2021
3,"Javion Posey","QB",10,1,1,100,11,0,0,0,0,11,11,11,1.1,192.4,NA,"florida-atlantic",2021
4,"Je'Quan Burton","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"florida-atlantic",2021
1,"Max Bortenschlager","QB",12,178,342,52,2935,19,5.6,12,3.5,8.6,8.11,16.5,244.6,135.5,NA,"florida-international",2021
2,"Grayson James","QB",6,18,27,66.7,155,1,3.7,0,0,5.7,6.48,8.6,25.8,127.1,NA,"florida-international",2021
3,"Kaylan Wiggins","QB",2,4,7,57.1,52,0,0,0,0,7.4,7.43,13,26,119.5,NA,"florida-international",2021
4,"Tommy Heatherly","P",12,2,2,100,33,0,0,0,0,16.5,16.5,16.5,2.8,238.6,NA,"florida-international",2021
1,"Jordan Travis","QB",10,122,194,62.9,1539,15,7.7,6,3.1,7.9,8.09,12.6,153.9,148.9,NA,"florida-state",2021
2,"McKenzie Milton","QB",6,81,139,58.3,775,3,2.2,6,4.3,5.6,4.06,9.6,129.2,103.6,NA,"florida-state",2021
3,"Chubba Purdy","QB",1,5,5,100,98,2,40,0,0,19.6,27.6,19.6,98,396.6,NA,"florida-state",2021
4,"Tate Rodemaker","QB",3,1,2,50,7,0,0,0,0,3.5,3.5,7,2.3,79.4,NA,"florida-state",2021
1,"Emory Jones","QB",13,224,346,64.7,2734,19,5.5,13,3.8,7.9,7.31,12.2,210.3,141.7,NA,"florida",2021
2,"Anthony Richardson","QB",8,38,64,59.4,529,6,9.4,5,7.8,8.3,6.63,13.9,66.1,144.1,NA,"florida",2021
3,"Trent Whittemore","WR",11,3,4,75,41,2,50,0,0,10.3,20.25,13.7,3.7,326.1,NA,"florida",2021
4,"Malik Davis","RB",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"florida",2021
1,"Jake Haener","QB",13,329,490,67.1,4096,33,6.7,9,1.8,8.4,8.88,12.4,315.1,155.9,NA,"fresno-state",2021
2,"Jalen Cropper","WR",13,1,2,50,51,1,50,0,0,25.5,35.5,51,3.9,429.2,NA,"fresno-state",2021
3,"Logan Fife","QB",1,7,13,53.8,51,1,7.7,1,7.7,3.9,2,7.3,51,96.8,NA,"fresno-state",2021
4,"Jaylen Henderson","QB",3,5,8,62.5,49,0,0,0,0,6.1,6.13,9.8,16.3,114,NA,"fresno-state",2021
1,"Justin Tomlin","QB",8,74,143,51.7,977,2,1.4,9,6.3,6.8,4.28,13.2,122.1,101.2,NA,"georgia-southern",2021
2,"Cam Ransom","QB",9,39,83,47,494,3,3.6,0,0,6,6.67,12.7,54.9,108.9,NA,"georgia-southern",2021
3,"Connor Cigelske","QB",2,22,38,57.9,229,0,0,1,2.6,6,4.84,10.4,114.5,103.3,NA,"georgia-southern",2021
4,"Amare Jones","RB",10,4,8,50,45,0,0,1,12.5,5.6,0,11.3,4.5,72.3,NA,"georgia-southern",2021
5,"Sam Kenerson","QB",7,2,3,66.7,20,0,0,1,33.3,6.7,-8.33,10,2.9,56,NA,"georgia-southern",2021
1,"Darren Grainger","QB",13,136,228,59.6,1715,19,8.3,4,1.8,7.5,8.4,12.6,131.9,146.8,NA,"georgia-state",2021
2,"Cornelious Brown","QB",5,42,81,51.9,384,0,0,4,4.9,4.7,2.52,9.1,76.8,81.8,NA,"georgia-state",2021
3,"Mikele Colasurdo","QB",11,2,2,100,2,0,0,0,0,1,1,1,0.2,108.4,NA,"georgia-state",2021
1,"Jeff Sims","QB",8,113,188,60.1,1468,12,6.4,7,3.7,7.8,7.41,13,183.5,139.3,NA,"georgia-tech",2021
