rk,player,pos,g,ret,yds,y_ret,krtd,ret_2,yds_2,y_ret_2,prtd,ap_yd,awards,Team,Year
4,Tetairoa McMillan,WR,13,0,0,,0,2,11,5.5,0,1416,,arizona,2023
5,Michael Wiley,RB,10,4,77,19.3,0,0,0,,0,694,,arizona,2023
6,Jai-Ayviauynn Celestine,CB,9,3,56,18.7,0,0,0,,0,56,,arizona,2023
1,Alan Lamar,RB,12,55,1333,24.2,2,0,0,,0,1683,,arkansas-state,2021
2,Johnnie Lang,RB,12,0,0,,0,16,129,8.1,1,485,,arkansas-state,2021
3,Lincoln Pare,RB,12,4,67,16.8,0,0,0,,0,805,,arkansas-state,2021
4,Reed Tyler,TE,10,1,0,0.0,0,0,0,,0,27,,arkansas-state,2021
5,Eathan Hassler,LB,9,1,0,0.0,0,0,0,,0,0,,arkansas-state,2021
1,Johnnie Lang,RB,12,37,886,23.9,1,14,87,6.2,0,1630,,arkansas-state,2022
2,Reagan Ealy,WR,12,10,171,17.1,0,1,15,15.0,0,232,,arkansas-state,2022
3,Champ Flemings,WR,11,3,49,16.3,0,1,-6,-6.0,0,555,,arkansas-state,2022
4,Wyatt Begeal,WR,1,1,0,0.0,0,0,0,,0,0,,arkansas-state,2022
1,Courtney Jackson,WR,13,0,0,,0,16,161,10.1,1,855,,arkansas-state,2023
2,Ja'Quez Cross,RB,13,23,654,28.4,1,0,0,,0,1531,,arkansas-state,2023
3,Reagan Ealy,WR,13,7,107,15.3,0,0,0,,0,312,,arkansas-state,2023
1,Greg Brooks Jr.,DB,13,0,0,,0,2,2,1.0,0,9,,arkansas,2021
2,Raheim Sanders,RB,13,1,19,19.0,0,0,0,,0,706,,arkansas,2021
3,AJ Green,RB,12,9,147,16.3,0,0,0,,0,458,,arkansas,2021
4,LaDarrius Bishop,DB,12,6,144,24.0,0,0,0,,0,144,,arkansas,2021
5,Mataio Soli,DL,12,0,0,,0,1,4,4.0,0,4,,arkansas,2021
6,Nathan Parodi,DB,12,0,0,,0,18,205,11.4,1,205,,arkansas,2021
7,Treylon Burks,WR,12,1,0,0.0,0,0,0,,0,1216,,arkansas,2021
8,Harper Cole,WR,5,0,0,,0,1,0,0.0,0,0,,arkansas,2021
9,Bryce Stephens,WR,4,0,0,,0,3,53,17.7,0,58,,arkansas,2021
1,AJ Green,RB,13,8,127,15.9,0,0,0,,0,616,,arkansas,2022
2,Bryce Stephens,WR,13,0,0,,0,15,149,9.9,1,279,,arkansas,2022
3,Rashod Dubinion,RB,13,0,0,,0,1,3,3.0,0,404,,arkansas,2022
4,Bumper Pool,LB,11,1,34,34.0,0,0,0,,0,34,,arkansas,2022
1,Isaiah Sategna,WR,12,23,500,21.7,0,15,180,12.0,1,837,,arkansas,2023
1,Marquel Broughton,DB,14,1,-3,-3.0,0,0,0,,0,21,,army,2021
2,Tyrell Robinson,RB,14,5,112,22.4,0,11,141,12.8,0,1250,,army,2021
3,AJ Howard Jr.,RB,13,3,39,13.0,0,0,0,,0,185,,army,2021
4,Cameron Jones,CB,12,0,0,,0,1,-2,-2.0,0,43,,army,2021
5,Reikan Donaldson,WR,10,0,0,,0,1,13,13.0,0,29,,army,2021
6,Laquan Veney,RB,3,2,13,6.5,0,0,0,,0,43,,army,2021
7,Maurice Bellan,QB,1,0,0,,0,1,2,2.0,0,18,,army,2021
1,Braheam Murphy,RB,12,5,99,19.8,0,0,0,,0,502,,army,2022
2,Bo Kite,LB,11,1,9,9.0,0,0,0,,0,9,,army,2022
3,Brett Gerena,LB,11,1,9,9.0,0,0,0,,0,9,,army,2022
4,Maurice Bellan,QB,11,1,17,17.0,0,0,0,,0,92,,army,2022
5,Cameron Jones,CB,10,0,0,,0,6,56,9.3,0,59,,army,2022
6,Miles Stewart,RB,9,3,56,18.7,0,0,0,,1,85,,army,2022
7,Isaiah Morris,DB,8,0,0,,0,1,-6,-6.0,0,-6,,army,2022
8,Noah Short,S,8,0,0,,0,1,31,31.0,0,31,,army,2022
9,Tyrell Robinson,RB,5,1,21,21.0,0,5,67,13.4,1,544,,army,2022
1,Ay'Juan Marshall,WR,11,2,61,30.5,0,0,0,,0,325,,army,2023
2,Bo Nicolas-Paul,CB,11,2,27,13.5,0,0,0,,0,96,,army,2023
3,Cameron Jones,CB,11,0,0,,0,3,33,11.0,0,70,,army,2023
4,Justin Weaver,CB,11,0,0,,0,1,24,24.0,0,24,,army,2023
5,Markel Johnson,RB,11,1,1,1.0,0,0,0,,0,119,,army,2023
6,Tyrell Robinson,RB,8,4,70,17.5,0,3,7,2.3,0,341,,army,2023
7,Zach Mundell,QB,6,3,64,21.3,0,0,0,,0,72,,army,2023
1,Donovan Kaufman,S,13,3,61,20.3,0,0,0,,0,99,,auburn,2021
2,Jarquez Hunter,RB,13,10,195,19.5,0,0,0,,0,849,,auburn,2021
3,Nehemiah Pritchett,CB,13,10,313,31.3,0,0,0,,0,314,,auburn,2021
